"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2244","Navigation from login page to registration page","LMS system","2025-10-23","passed","2025-10-23","Authorization","Authentication","",""
"","2008","Check displaying of empty courses list","LMS system","2025-10-23","passed","2025-10-23","Courses","Courses","",""
"","2180","User login with wrong email or password","LMS system","2025-10-23","passed","2025-10-23","Authorization","Authentication","",""
"","2632","Create course","LMS system","2025-10-23","passed","2025-10-23","Courses","Courses","",""
"","2402","Check dashboard displaying","LMS system","2025-10-23","passed","2025-10-23","Dashboard","Dashboard","",""
"","2139","User login with wrong email or password","LMS system","2025-10-23","passed","2025-10-23","Authorization","Authentication","",""
"","3690","User login with correct email and password","LMS system","2025-10-23","passed","2025-10-23","Authorization","Authentication","",""
"","2502","User registration with correct email, username and password","LMS system","2025-10-23","passed","2025-10-23","Registration","Authentication","",""
"","2152","User login with wrong email or password","LMS system","2025-10-23","passed","2025-10-23","Authorization","Authentication","",""
"","2996","Edit course","LMS system","2025-10-23","passed","2025-10-23","Courses","Courses","",""
